country_name,country_code,Tier_0_1_Percent,Tier_2_Percent,Tier_3_Percent,Tier_4_Percent,Tier_5_Percent
Ethiopia,ETH,0.7296,0.1915,0.0443,0.0126,0.022
Mozambique,MOZ,0.6996,0.1692,0.0653,0.0295,0.0364
Bangladesh,BGD,0.6801,0.1784,0.066,0.0278,0.0478
Zambia,ZMB,0.5556,0.1771,0.087,0.0508,0.1295
India,IND,0.5106,0.2081,0.0742,0.0405,0.1666
South Africa,ZAF,0.4937,0.2363,0.091,0.0433,0.1357
Uzbekistan,UZB,0.4853,0.2054,0.1341,0.0689,0.1063
Vietnam,VNM,0.3864,0.1766,0.1259,0.0833,0.2278
Ghana,GHA,0.3185,0.1959,0.106,0.0588,0.3208
Georgia,GEO,0.2867,0.1765,0.1555,0.0968,0.2845
